DATE,HOUSEHOLD INVENTORY
1/1/2004,122632
4/1/2004,123099
7/1/2004,123587
10/1/2004,124096
1/1/2005,124611
4/1/2005,125118
7/1/2005,125619
10/1/2005,126104
1/1/2006,126584
4/1/2006,127072
7/1/2006,127548
10/1/2006,127991
1/1/2007,128439
4/1/2007,128888
7/1/2007,129300
10/1/2007,129634
1/1/2008,129968
4/1/2008,130303
7/1/2008,130590
10/1/2008,130797
1/1/2009,131001
4/1/2009,131207
7/1/2009,131375
10/1/2009,131490
1/1/2010,131626
4/1/2010,131749
7/1/2010,131874
10/1/2010,131995
1/1/2011,132117
4/1/2011,132239
7/1/2011,132362
10/1/2011,132491
1/1/2012,132619
4/1/2012,132748
7/1/2012,132890
10/1/2012,133062
1/1/2013,133234
4/1/2013,133408
7/1/2013,133593
10/1/2013,133799
1/1/2014,134005
4/1/2014,134212
7/1/2014,134423
10/1/2014,134642
1/1/2015,134862
4/1/2015,135081
7/1/2015,135309
10/1/2015,135552
1/1/2016,135795
4/1/2016,136039
7/1/2016,136289
10/1/2016,136554
1/1/2017,136818
4/1/2017,137083
7/1/2017,137354
10/1/2017,137637
1/1/2018,137920
4/1/2018,138203
7/1/2018,138488
10/1/2018,138778
1/1/2019,139069
4/1/2019,139360
7/1/2019,139655
10/1/2019,139961
1/1/2020,140266
4/1/2020,140600
7/1/2020,140914
10/1/2020,141251
1/1/2021,141589
4/1/2021,141927
7/1/2021,142288
10/1/2021,142697
1/1/2022,143105
4/1/2022,143514
7/1/2022,143923
10/1/2022,144332
1/1/2023,144740
4/1/2023,145149
7/1/2023,145558
10/1/2023,145967
1/1/2024,146375
