DATE,MEDIAN PRICES
1/1/2004,212700
4/1/2004,217600
7/1/2004,213500
10/1/2004,228800
1/1/2005,232500
4/1/2005,233700
7/1/2005,236400
10/1/2005,243600
1/1/2006,247700
4/1/2006,246300
7/1/2006,235600
10/1/2006,245400
1/1/2007,257400
4/1/2007,242200
7/1/2007,241800
10/1/2007,238400
1/1/2008,233900
4/1/2008,235300
7/1/2008,226500
10/1/2008,222500
1/1/2009,208400
4/1/2009,220900
7/1/2009,214300
10/1/2009,219000
1/1/2010,222900
4/1/2010,219500
7/1/2010,224100
10/1/2010,224300
1/1/2011,226900
4/1/2011,228100
7/1/2011,223500
10/1/2011,221100
1/1/2012,238400
4/1/2012,238700
7/1/2012,248800
10/1/2012,251700
1/1/2013,258400
4/1/2013,268100
7/1/2013,264800
10/1/2013,273600
1/1/2014,275200
4/1/2014,288000
7/1/2014,281000
10/1/2014,298900
1/1/2015,289200
4/1/2015,289100
7/1/2015,295800
10/1/2015,302500
1/1/2016,299800
4/1/2016,306000
7/1/2016,303800
10/1/2016,310900
1/1/2017,313100
4/1/2017,318200
7/1/2017,320500
10/1/2017,337900
1/1/2018,331800
4/1/2018,315600
7/1/2018,330900
10/1/2018,322800
1/1/2019,313000
4/1/2019,322500
7/1/2019,318400
10/1/2019,327100
1/1/2020,329000
4/1/2020,317100
7/1/2020,327900
10/1/2020,338600
1/1/2021,355000
4/1/2021,367800
7/1/2021,395200
10/1/2021,414000
1/1/2022,413500
4/1/2022,437700
7/1/2022,438000
10/1/2022,442600
1/1/2023,429000
4/1/2023,418500
7/1/2023,435400
10/1/2023,423200
1/1/2024,420800
